id,program_name,category_primary,category_secondary,description,url_pdf,age_min,age_max,income_type,income_max,household_size,residence_required,employment_status,house_type,special_conditions,support_type,support_amount,support_duration,support_details,application_period,how_to_apply,contact,difficulty_level,raw_text,
1,국민기초생활수급자 수도요금 감면,생활·금융,수도요금지원,국민기초생활수급자에게 상수도 요금 감면,https://i121.seoul.go.kr/cs/cyber/front/cgcalc/NR_chargeReduceInfo.do?_m=m1_6,null,null,기초생활수급자,null,null,서울,null,null,국민기초생활보장법에 따른 수급권자. 동일 내용 감면 중복 적용 불가.,요금감면,세대당 월 사용량의 최대 10m³ 감면,연중 계속,월 사용량 10m³ 미만 시 실제 사용량 감면,연중 수시,동 주민센터 방문 신청 / 서울아리수홈페이지 온라인 신청,서울아리수본부 콜센터,2,국민기초생활보장법에 따른 수급권자에게 수도 요금(상수도 및 하수도)을 감면해주는 제도입니다.,
2,중증장애인 수도요금 감면,생활·금융,수도요금지원,장애의 정도가 심한 장애인에게 상수도 요금 감면,https://i121.seoul.go.kr/cs/cyber/front/cgcalc/NR_chargeReduceInfo.do?_m=m1_6,null,null,null,null,null,서울,null,null,장애인복지법에 따른 장애의 정도가 심한 장애인. 동일 내용 감면 중복 적용 불가.,요금감면,세대당 월 사용량의 최대 10m³ 감면,연중 계속,월 사용량 10m³ 미만 시 실제 사용량 감면,연중 수시,동 주민센터 방문 신청 / 서울아리수홈페이지 온라인 신청,서울아리수본부 콜센터,2,장애인복지법에 따른 장애의 정도가 심한 장애인 가구에게 수도 요금(상수도 및 하수도)을 감면해주는 제도입니다.,
3,독립유공자 수도요금 감면,생활·금융,수도요금지원,독립유공자 및 그 유족에게 상수도 요금 감면,https://i121.seoul.go.kr/cs/cyber/front/cgcalc/NR_chargeReduceInfo.do?_m=m1_6,null,null,null,null,null,서울,null,null,독립유공자예우에 관한 법률에 따른 독립유공자 또는 그 유족 중 선순위자 1명. 별도 신청 불필요.,요금감면,세대당 월 사용량의 최대 10m³ 감면,연중 계속,월 사용량 10m³ 미만 시 실제 사용량 감면,별도 신청 없음,관할 수도사업소에 감면대상자 입력 여부 확인 요청,서울아리수본부 콜센터,1,독립유공자 또는 그 유족에게 수도 요금(상수도 및 하수도)을 감면해주는 제도입니다. 서울시청 복지정책과에서 대상자를 통보함.,
4,한부모 하수도사용료 감면,생활·금융,하수도요금지원,한부모가족 복지급여 대상자에게 하수도 사용료 감면,https://i121.seoul.go.kr/cs/cyber/front/cgcalc/NR_chargeReduceInfo.do?_m=m1_6,null,null,null,null,null,서울,null,null,한부모가족지원법에 따른 복지급여 지원 대상자. 변경 사유 발생 시 신고 필수.,요금감면,세대당 월 하수도 사용량의 최대 10m³ 감면,연중 계속,하수도 사용량 10m³ 미만 시 실제 사용량 감면,연중 수시,주민센터 신청,서울아리수본부 콜센터,2,한부모가족지원법에 따른 복지급여 대상자에게 하수도 사용료를 감면해주는 제도입니다.,
5,다자녀 하수도사용료 감면,생활·금융,하수도요금지원,동일세대 내 만 18세 이하 자녀 3명 이상 가구 하수도 사용료 감면,https://i121.seoul.go.kr/cs/cyber/front/cgcalc/NR_chargeReduceInfo.do?_m=m1_6,0,18,null,null,4인 이상,서울,null,null,동일세대 내 만 18세 이하 미성년 자녀가 3명 이상인 가구. 변경 사유 발생 시 신고 필수.,요금감면,하수도사용료의 30% 감면 (가정용),연중 계속,하수도 사용료 30% 감면,연중 수시,주민센터 신청,서울아리수본부 콜센터,2,만 18세 이하 자녀가 3명 이상인 다자녀 가구에게 하수도 사용료를 감면해주는 제도입니다.,
6,전자고지 수도요금 감면,생활·금융,수도요금지원,전자고지 신청 사용자에게 상수도 요금 감면,https://i121.seoul.go.kr/cs/cyber/front/cgcalc/NR_chargeReduceInfo.do?_m=m1_6,null,null,null,null,null,서울,null,null,전자고지를 신청한 수도사용자. 사용자 변경 시 해제 신청 필수.,요금감면,"상수도요금의 1% (200원 ~ 1,000원)",연중 계속,상수도 요금의 1% 감면,연중 수시,수도사업소 신청 / 서울아리수홈페이지 온라인 신청,서울아리수본부 콜센터,1,"전자고지를 신청하여 종이 고지서 대신 전자(모바일, 이메일 등)로 고지서를 받는 사용자에게 감면 혜택 제공.",
7,희망온돌 위기긴급기금(취약계층 위기가구 지원),생활·금융,위기가구지원,"복지 사각지대 위기가구에 생계비·주거비·의료비 등 긴급 지원(현금지원 원칙, 예외적 현물 가능/업체대납 원칙)",https://wis.seoul.go.kr/sec/ctg/categoryDetail.do?id=87,null,null,중위소득,120,null,서울,null,null,"(원칙) 서울거주·중위소득 120% 이하 위기(또는 위기 위험) 취약계층. (참고) 수급권자는 동일 항목 지원 지양(긴급 시 1가구 1항목 최대 100만원 가능), 노숙인·저소득 외국인 등은 안내 기준에 따라 가능",현금지원(업체대납원칙)/현물(예외),"1가구 1항목 100만원 이하(의료비: 1인 100만원, 최대 300만원/가구)",일시지원(신청시),생계비(현금/쌀/부식/생필품 등)·주거비(고시원/월세/관리비/냉난방비 등)·의료비(치료비/약값/진단비)·기타긴급(집수리 등) 지원. 항목 간 중복은 지양,연중 상시,거주지역 지역복지관(희망온돌 거점기관) 또는 동주민센터 방문/전화,02-2133-7397 / 서울시사회복지관협회 070-4652-5884,4,"서울시-서울사회복지공동모금회 협약 기반의 민관협력 긴급지원. 복지 사각지대 위기가구를 대상으로 생계·주거·의료 등 1가구 1항목 100만원 범위(의료비는 1인 100만원, 최대 300만원) 내에서 긴급 지원하며, 현금지원이 원칙이고 주거·의료 등은 임대인·병원 등 업체대납을 원칙으로 함.",
8,희망온돌 위기긴급기금(서울형 임차보증금 지원),생활·금융,주거위기(임차보증금),주거위기 취약계층의 긴급 주거비(임차보증금 등) 지원(복지재단→임대인 지급 구조),https://wis.seoul.go.kr/sec/ctg/categoryDetail.do?id=90,null,null,중위소득,120,null,서울,null,null,주거위기사유 발생 취약계층 가구(기준 중위소득 120% 이하) 임차보증금 지원,현금지원(임대인 대납),임차보증금 등 긴급 주거비 600만원 이내,일시지원(신청시),신청(거점기관/자치구/동주민센터) → 자치구 검토 → 복지재단 솔루션위원회 심사·선정 → 지원(복지재단→임대인) → 모니터링(신청기관). 서류: 신청서/현 거주지 계약서/개인정보동의/등본/소득증빙 + (해당) 주거상태·부채·위기증빙,연중 상시,자치구·동주민센터·거주지 지역복지관(희망온돌 거점기관) 방문 또는 전화,서울시복지재단 02-6353-0354 / 02-2133-7397,4,"복지 사각지대 주거위기 가구에 임차보증금을 600만원 이내로 지원하며, 자치구 검토 및 복지재단 솔루션위원회 심사를 거쳐 복지재단이 임대인에게 지급하는 구조로 운영됨.",
9,청년 자립토대 지원,생활·금융,개인회생지원,개인회생 청년 재무역량 강화 프로그램+자립토대지원금 지원,https://wis.seoul.go.kr/was/ssy/selfRelianceInfo.do,19,39,중위소득,140,null,서울,취업자,null,"서울시 주민등록 거주 + 중위소득 140% 이하 + 개인회생(3개월 이내 변제완료 예정 또는 1년 이내 면책/변제완료 등 공고 기준) + (공고문) 변제금 3회 이상 미납 제한, 제대군인 연령 연장(최대 3년)",현금+교육,자립토대지원금 100만원(50만원×2회)+금융교육 2회+맞춤형 재무상담 3회,사업기간/회차별 운영,재무역량 강화 맞춤형 프로그램(금융교육·1:1 재무상담) 이수 후 지원금 지급,공고/회차별(연 1~2회 운영 사례),서울복지포털 온라인 신청(wis.seoul.go.kr),서울시 복지정책과 02-2133-7332 / 서울시복지재단 02-6353-9103 / 다산콜 120,4,청년 개인회생자(취업자) 대상 재무교육·상담과 자립토대지원금(100만원)을 지원하는 서울시 사업,
10,자가검침 수도요금 감면,생활·금융,수도요금지원,자가검침을 신청한 사용자에게 상수도 요금 감면,https://i121.seoul.go.kr/cs/cyber/front/cgcalc/NR_chargeReduceInfo.do?_m=m1_6,null,null,null,null,null,서울,null,null,자가검침을 신청한 수도사용자. 2회 납기 미입력 시 직권 해지 가능.,요금감면,1회 납기 당 600원 감면,연중 계속,직접 검침하여 지침을 ARS나 모바일 앱으로 입력 시 혜택 제공,연중 수시,수도사업소 신청 / 서울아리수홈페이지 온라인 신청,서울아리수본부 콜센터,2,수도 사용자가 직접 수도계량기를 검침하여 지침을 입력하는 경우 감면 혜택 제공.,
